//General line format: type arg0,arg1,... (the type of line followed by a space followed by the arguments)
//T = Tile, format: name,x,y
//C = Collision block, format: isPlatform?,leftTopX,leftTopY,rightBottomX,rightBottomY

//Big tiles left
C 0,0,48,48,672
T Big,0,624
T Big,0,576
T Big,0,528
T Big,0,480
T Big,0,432
T Big,0,384
T Big,0,336
T Big,0,288
T Big,0,240
T Big,0,192
T Big,0,144
T Big,0,96
T Big,0,48

//Big tiles right
C 0,720,48,768,672
T Big,720,672
T Big,720,624
T Big,720,576
T Big,720,528
T Big,720,480
T Big,720,432
T Big,720,384
T Big,720,336
T Big,720,288
T Big,720,240
T Big,720,192
T Big,720,144
T Big,720,96
T Big,720,48

//Bottom floor
C 0,48,648,720,672
T Small,48,648
T Small,72,648
T Small,96,648
T Small,120,648
T Small,144,648
T Small,168,648
T Small,192,648
T Small,216,648
T Small,240,648
T Small,264,648
T Small,288,648
T Small,312,648
T Small,336,648
T Small,360,648
T Small,384,648
T Small,408,648
T Small,432,648
T Small,456,648
T Small,480,648
T Small,504,648
T Small,528,648
T Small,552,648
T Small,576,648
T Small,600,648
T Small,624,648
T Small,648,648
T Small,672,648
T Small,696,648

//Upper floor
T Small,48,48
T Small,72,48
T Small,96,48
T Small,120,48
T Small,144,48
T Small,168,48
T Small,192,48
T Small,216,48
T Small,240,48
T Small,264,48
T Small,288,48
T Small,312,48
T Small,336,48
T Small,360,48
T Small,384,48
T Small,408,48
T Small,432,48
T Small,456,48
T Small,480,48
T Small,504,48
T Small,528,48
T Small,552,48
T Small,576,48
T Small,600,48
T Small,624,48
T Small,648,48
T Small,672,48
T Small,696,48

//Floor 1
C 1,96,528,264,552
T Small,96,528
T Small,120,528
T Small,144,528
T Small,168,528
T Small,192,528
T Small,216,528
T Small,240,528

C 1,312,528,456,552
T Small,312,528
T Small,336,528
T Small,360,528
T Small,384,528
T Small,408,528
T Small,432,528

C 1,504,528,672,552
T Small,504,528
T Small,528,528
T Small,552,528
T Small,576,528
T Small,600,528
T Small,624,528
T Small,648,528

//Floor 2
C 1,168,408,600,432
T Small,168,408
T Small,192,408
T Small,216,408
T Small,240,408
T Small,264,408
T Small,288,408
T Small,312,408
T Small,336,408
T Small,360,408
T Small,384,408
T Small,408,408
T Small,432,408
T Small,456,408
T Small,480,408
T Small,504,408
T Small,528,408
T Small,552,408
T Small,576,408

//Floor 3
C 1,240,288,360,312
T Small,240,288
T Small,264,288
T Small,288,288
T Small,312,288
T Small,336,288

C 1,408,288,528,312
T Small,408,288
T Small,432,288
T Small,456,288
T Small,480,288
T Small,504,288

//Floor 4
C 1,312,168,456,192
T Small,312,168
T Small,336,168
T Small,360,168
T Small,384,168
T Small,408,168
T Small,432,168
