//General line format: type arg0,arg1,... (the type of line followed by a space followed by the arguments)
//T = Tile, format: name,x,y
//C = Collision block, format: isPlatform?,leftTopX,leftTopY,rightBottomX,rightBottomY

//Big tiles left
C 0,0,48,48,696
T Big,0,672
T Big,0,624
T Big,0,576
T Big,0,528
T Big,0,480
T Big,0,432
T Big,0,384
T Big,0,336
T Big,0,288
T Big,0,240
T Big,0,192
T Big,0,144
T Big,0,96
T Big,0,48

//Big tiles right
C 0,720,48,768,696
T Big,720,672
T Big,720,624
T Big,720,576
T Big,720,528
T Big,720,480
T Big,720,432
T Big,720,384
T Big,720,336
T Big,720,288
T Big,720,240
T Big,720,192
T Big,720,144
T Big,720,96
T Big,720,48

//Bottom floor
C 0,48,648,216,672
T Small,48,648
T Small,72,648
T Small,96,648
T Small,120,648
T Small,144,648
T Small,168,648
T Small,192,648

C 0,312,648,456,672
T Small,312,648
T Small,336,648
T Small,360,648
T Small,384,648
T Small,408,648
T Small,432,648

C 0,552,648,720,672
T Small,552,648
T Small,576,648
T Small,600,648
T Small,624,648
T Small,648,648
T Small,672,648
T Small,696,648

//Upper floor
T Small,48,48
T Small,72,48
T Small,96,48
T Small,120,48
T Small,144,48
T Small,168,48
T Small,192,48

T Small,312,48
T Small,336,48
T Small,360,48
T Small,384,48
T Small,408,48
T Small,432,48

T Small,552,48
T Small,576,48
T Small,600,48
T Small,624,48
T Small,648,48
T Small,672,48
T Small,696,48

//Floor 1
C 1,48,528,168,552
T Small,48,528
T Small,72,528
T Small,96,528
T Small,120,528
T Small,144,528

C 1,216,528,288,552
T Small,216,528
T Small,240,528
T Small,264,528

C 1,480,528,552,552
T Small,480,528
T Small,504,528
T Small,528,528

C 1,600,528,720,552
T Small,600,528
T Small,624,528
T Small,648,528
T Small,672,528
T Small,696,528

//Floor 2
C 1,144,408,360,432
T Small,144,408
T Small,168,408
T Small,192,408
T Small,216,408
T Small,240,408
T Small,264,408
T Small,288,408
T Small,312,408
T Small,336,408

C 1,408,408,624,432
T Small,408,408
T Small,432,408
T Small,456,408
T Small,480,408
T Small,504,408
T Small,528,408
T Small,552,408
T Small,576,408
T Small,600,408

//Floor 3
C 1,144,288,336,312
T Small,144,288
T Small,168,288
T Small,192,288
T Small,216,288
T Small,240,288
T Small,264,288
T Small,288,288
T Small,312,288

C 1,432,288,624,312
T Small,432,288
T Small,456,288
T Small,480,288
T Small,504,288
T Small,528,288
T Small,552,288
T Small,576,288
T Small,600,288

//Floor 4
C 1,144,168,312,192
T Small,144,168
T Small,168,168
T Small,192,168
T Small,216,168
T Small,240,168
T Small,264,168
T Small,288,168

C 1,456,168,624,192
T Small,456,168
T Small,480,168
T Small,504,168
T Small,528,168
T Small,552,168
T Small,576,168
T Small,600,168

//Middle section walls left
C 0,120,168,144,432
T Small,120,408
T Small,120,384
T Small,120,360
T Small,120,336
T Small,120,312
T Small,120,288
T Small,120,264
T Small,120,240
T Small,120,216
T Small,120,192
T Small,120,168

//Middle section walls right
C 0,624,168,648,432
T Small,624,408
T Small,624,384
T Small,624,360
T Small,624,336
T Small,624,312
T Small,624,288
T Small,624,264
T Small,624,240
T Small,624,216
T Small,624,192
T Small,624,168
